compound_name,dose,masked,replicate,index
BRD:BRD-U00115292-001-01-9,20.0,T,1,0
BRD:BRD-U00115292-001-01-9,6.667,T,1,1
BRD:BRD-U00115292-001-01-9,0.009145,T,1,2
BRD:BRD-U00115292-001-01-9,0.7407,T,1,3
BRD:BRD-U00115292-001-01-9,0.2469,T,1,4
BRD:BRD-U00115292-001-01-9,2.222,T,1,5
BRD:BRD-U00115292-001-01-9,0.02743,T,1,6
BRD:BRD-U00115292-001-01-9,0.0823,T,1,7
BRD:BRD-U00115292-001-01-9,0.02743,T,2,8
BRD:BRD-U00115292-001-01-9,0.7407,T,2,9
BRD:BRD-U00115292-001-01-9,0.0823,T,2,10
BRD:BRD-U00115292-001-01-9,0.009145,T,2,11
BRD:BRD-U00115292-001-01-9,6.667,T,2,12
BRD:BRD-U00115292-001-01-9,20.0,T,2,13
BRD:BRD-U00115292-001-01-9,0.2469,T,2,14
BRD:BRD-U00115292-001-01-9,2.222,T,2,15
BRD:BRD-U00115292-001-01-9,0.009145,T,3,16
BRD:BRD-U00115292-001-01-9,0.7407,T,3,17
BRD:BRD-U00115292-001-01-9,0.0823,T,3,18
BRD:BRD-U00115292-001-01-9,2.222,T,3,19
BRD:BRD-U00115292-001-01-9,0.02743,T,3,20
BRD:BRD-U00115292-001-01-9,20.0,T,3,21
BRD:BRD-U00115292-001-01-9,6.667,T,3,22
BRD:BRD-U00115292-001-01-9,0.2469,T,3,23
BRD:BRD-U00115292-001-01-9,20.0,T,4,24
BRD:BRD-U00115292-001-01-9,6.667,T,4,25
BRD:BRD-U00115292-001-01-9,0.009145,T,4,26
BRD:BRD-U00115292-001-01-9,0.7407,T,4,27
BRD:BRD-U00115292-001-01-9,0.2469,T,4,28
BRD:BRD-U00115292-001-01-9,2.222,T,4,29
BRD:BRD-U00115292-001-01-9,0.02743,T,4,30
BRD:BRD-U00115292-001-01-9,0.0823,T,4,31
BRD:BRD-U00115292-001-01-9,0.02743,T,5,32
BRD:BRD-U00115292-001-01-9,0.7407,T,5,33
BRD:BRD-U00115292-001-01-9,0.0823,T,5,34
BRD:BRD-U00115292-001-01-9,0.009145,T,5,35
BRD:BRD-U00115292-001-01-9,6.667,T,5,36
BRD:BRD-U00115292-001-01-9,20.0,T,5,37
BRD:BRD-U00115292-001-01-9,0.2469,T,5,38
BRD:BRD-U00115292-001-01-9,2.222,T,5,39
BRD:BRD-U00115292-001-01-9,0.009145,T,6,40
BRD:BRD-U00115292-001-01-9,0.7407,T,6,41
BRD:BRD-U00115292-001-01-9,0.0823,T,6,42
BRD:BRD-U00115292-001-01-9,2.222,T,6,43
BRD:BRD-U00115292-001-01-9,0.02743,T,6,44
BRD:BRD-U00115292-001-01-9,6.667,T,6,45
BRD:BRD-U00115292-001-01-9,0.2469,T,6,46
