ModelID,PRISMRepurposing,RNASeq,WGS,WES,RNAi,CRISPR,PRISMOncref
ACH-000788,True,True,True,True,True,True,False
ACH-000810,True,True,True,True,True,True,False
ACH-000552,True,True,True,True,True,True,False
ACH-001001,True,True,True,True,True,True,True
ACH-000805,True,True,False,True,True,True,False
ACH-000458,True,True,False,True,True,True,False
ACH-000052,True,True,False,True,True,True,False
ACH-000899,True,True,False,True,True,True,False
ACH-000425,True,True,False,True,True,True,False
ACH-000279,True,True,False,True,True,True,False
ACH-000441,True,True,False,True,True,True,False
ACH-000706,True,True,False,True,True,True,False
ACH-000580,True,True,False,True,True,True,False
ACH-000304,False,True,False,True,True,True,False
ACH-000585,False,True,False,True,True,True,False
ACH-000014,True,True,False,False,True,True,False
ACH-001205,True,False,False,True,False,True,False
ACH-000210,True,True,False,True,True,False,False
ACH-001170,False,False,False,False,True,False,False
